group	species	occurrence
birds	sp22723003	1195
birds	sp22704683	1194
birds	sp22722866	1194
birds	sp61752097	1194
birds	sp22701599	1192
birds	sp22682196	1191
birds	sp22713622	1190
birds	sp22683193	1187
birds	sp22733838	1185
birds	sp22699277	1183
birds	sp22705623	1183
birds	sp22707102	1183
birds	sp22709291	1183
birds	sp22722691	1183
birds	sp22708553	1182
birds	sp22693046	1181
birds	sp22718865	1181
birds	sp22719481	1181
birds	sp22688996	1178
birds	sp22697721	1177
birds	sp22697242	1176
birds	sp22735514	1176
birds	sp22698715	1175
birds	sp22700617	1175
birds	sp22709337	1175
birds	sp22719254	1174
birds	sp22736330	1174
birds	sp22719444	1173
birds	sp22721686	1172
birds	sp22716344	1170
birds	sp22681778	1166
birds	sp22693959	1166
birds	sp22700509	1165
birds	sp22707034	1165
birds	sp22707606	1163
birds	sp22697879	1162
birds	sp22702487	1162
birds	sp22678188	1161
birds	sp22710682	1161
birds	sp22717680	1160
birds	sp22723892	1160
birds	sp22716954	1159
birds	sp22700991	1158
birds	sp22720045	1157
birds	sp22722406	1157
birds	sp45478181	1157
birds	sp22678422	1156
birds	sp22706642	1156
birds	sp22720656	1156
birds	sp22724349	1156
birds	sp22682289	1155
birds	sp22696492	1154
birds	sp22715127	1153
birds	sp22698453	1152
birds	sp22698724	1152
birds	sp22687146	1150
birds	sp22724131	1150
birds	sp22733327	1150
birds	sp22701479	1149
birds	sp61536191	1149
birds	sp22717127	1148
birds	sp22719801	1147
birds	sp22681130	1146
birds	sp22700695	1146
birds	sp22709864	1146
birds	sp22717387	1140
birds	sp22703215	1139
birds	sp22706446	1139
birds	sp22718620	1137
birds	sp22698681	1136
birds	sp22729319	1134
birds	sp22711639	1133
birds	sp22686940	1131
birds	sp22708911	1131
birds	sp22700464	1130
birds	sp22725273	1130
birds	sp22685983	1129
birds	sp22695757	1129
birds	sp22691283	1128
birds	sp22692024	1128
birds	sp22705385	1127
birds	sp22715611	1127
birds	sp22720668	1127
birds	sp62288672	1126
birds	sp22687190	1125
birds	sp22713584	1125
birds	sp22702171	1123
birds	sp22685366	1121
birds	sp22691799	1121
birds	sp22732272	1121
birds	sp22702858	1120
birds	sp22709054	1119
birds	sp22724997	1119
birds	sp22705947	1116
birds	sp22724283	1116
birds	sp61859151	1116
birds	sp22682621	1115
birds	sp22679827	1114
birds	sp22691914	1114
birds	sp22723481	1113
birds	sp22682267	1112
birds	sp22699569	1112
birds	sp22700500	1112
birds	sp22709406	1109
birds	sp22708251	1108
birds	sp22681453	1107
birds	sp22692256	1107
birds	sp22697488	1107
birds	sp22702757	1107
birds	sp22716255	1107
birds	sp22719886	1106
birds	sp22680739	1104
birds	sp22687118	1102
birds	sp22704490	1102
birds	sp22719548	1101
birds	sp22706760	1100
birds	sp22700880	1098
birds	sp22712260	1096
birds	sp22713287	1095
birds	sp22705297	1094
birds	sp22709409	1094
birds	sp22693170	1093
birds	sp22722781	1093
birds	sp22718674	1092
birds	sp22694334	1091
birds	sp22714380	1091
birds	sp22721582	1091
birds	sp22679820	1086
birds	sp22720567	1086
birds	sp22723991	1086
birds	sp22693836	1085
birds	sp22712965	1085
birds	sp22692680	1083
birds	sp22681885	1082
birds	sp22717683	1081
birds	sp22699069	1079
birds	sp22696339	1077
birds	sp22705290	1077
birds	sp22707008	1077
birds	sp22711625	1077
birds	sp22713263	1076
birds	sp22717188	1075
birds	sp22719354	1075
birds	sp22705336	1074
birds	sp22705909	1074
birds	sp22690708	1071
birds	sp22707716	1071
birds	sp22682153	1070
birds	sp22700072	1068
birds	sp22705809	1068
birds	sp22719508	1067
birds	sp22706651	1066
birds	sp22713575	1066
birds	sp22695760	1065
birds	sp22713842	1064
birds	sp22735133	1063
birds	sp22714408	1062
birds	sp22700767	1059
birds	sp22704966	1059
birds	sp22716187	1058
birds	sp22698859	1057
birds	sp22679859	1055
birds	sp22734000	1055
birds	sp22735899	1055
birds	sp22701118	1054
birds	sp22714944	1054
birds	sp22680086	1053
birds	sp22700928	1053
birds	sp22711852	1053
birds	sp22729731	1053
birds	sp22693811	1052
birds	sp22711571	1051
birds	sp22717391	1050
birds	sp22711170	1049
birds	sp22709239	1048
birds	sp22711679	1048
birds	sp22703577	1047
birds	sp22711708	1046
birds	sp22692167	1045
birds	sp22706916	1044
birds	sp22710400	1042
birds	sp22722347	1041
birds	sp22681546	1040
birds	sp22686453	1040
birds	sp22692601	1040
birds	sp22693078	1040
birds	sp22706299	1040
birds	sp22717705	1040
birds	sp22686894	1038
birds	sp22712600	1038
birds	sp22717525	1037
birds	sp22723174	1036
birds	sp22706433	1035
birds	sp22706967	1033
birds	sp22734643	1033
birds	sp22688631	1032
birds	sp22704466	1032
birds	sp22712398	1032
birds	sp22706505	1030
birds	sp22699007	1029
birds	sp22708150	1028
birds	sp22716182	1026
birds	sp22716286	1026
birds	sp22678725	1024
birds	sp22684012	1024
birds	sp22729371	1023
birds	sp22728167	1022
birds	sp22690159	1021
birds	sp22689173	1018
birds	sp22701115	1018
birds	sp22705903	1016
birds	sp22690145	1015
birds	sp22709334	1014
birds	sp22703168	1013
birds	sp22707580	1013
birds	sp22719967	1013
birds	sp22721776	1013
birds	sp22685732	1012
birds	sp22735202	1012
birds	sp22711161	1011
birds	sp61791401	1011
birds	sp22691274	1010
birds	sp22689066	1009
birds	sp22699343	1008
birds	sp22710108	1007
birds	sp22687285	1006
birds	sp22694362	1006
birds	sp22703446	1006
birds	sp22694099	1005
birds	sp22716412	1005
birds	sp22706049	1004
birds	sp22683920	1003
birds	sp22723080	1002
birds	sp22698119	1001
birds	sp22681105	1000
birds	sp22686900	1000
birds	sp22699626	1000
birds	sp22700019	1000
birds	sp22704481	1000
birds	sp22712890	1000
birds	sp22716633	1000
birds	sp22718310	1000
birds	sp22722126	1000
birds	sp22722403	1000
birds	sp22684337	999
birds	sp22694821	999
birds	sp22718333	999
birds	sp22703728	997
birds	sp22718090	997
birds	sp22704070	996
birds	sp22689283	995
birds	sp22690576	995
birds	sp22693992	995
birds	sp22694837	994
birds	sp22695438	994
birds	sp22719329	994
birds	sp22700982	993
birds	sp22714353	993
birds	sp22689267	992
birds	sp22702276	992
birds	sp22704433	992
birds	sp22699559	991
birds	sp22718290	991
birds	sp22704151	990
birds	sp22719017	990
birds	sp22719828	990
birds	sp22701183	989
birds	sp22709727	989
birds	sp22678997	988
birds	sp22701489	987
birds	sp22705014	987
birds	sp22724160	987
birds	sp22712140	986
birds	sp22719398	985
birds	sp22709803	984
birds	sp22727714	984
birds	sp22715131	983
birds	sp22679603	981
birds	sp22706077	981
birds	sp22698653	978
birds	sp22690056	977
birds	sp22698140	977
birds	sp22701659	976
birds	sp22686668	975
birds	sp22699397	974
birds	sp22710767	974
birds	sp22682908	973
birds	sp22687479	972
birds	sp22700132	972
birds	sp22695486	971
birds	sp22715707	970
birds	sp22721387	970
birds	sp22734618	970
birds	sp22680130	969
birds	sp22705440	969
birds	sp22707409	969
birds	sp22712671	968
birds	sp22721630	968
birds	sp22730279	968
birds	sp22682710	966
birds	sp22713595	966
birds	sp22678176	964
birds	sp22716509	964
birds	sp22717080	964
birds	sp22718128	964
birds	sp22705114	963
birds	sp22688944	961
birds	sp22700239	961
birds	sp22700868	961
birds	sp22718339	961
birds	sp22718594	960
birds	sp22682609	959
birds	sp22702511	959
birds	sp22705107	959
birds	sp22735889	958
birds	sp22690211	957
birds	sp22698114	957
birds	sp22709470	957
birds	sp22704596	956
birds	sp22720201	956
birds	sp22725105	955
birds	sp22724259	954
birds	sp22678342	953
birds	sp22703212	953
birds	sp22718684	950
birds	sp22693165	949
birds	sp22718027	949
birds	sp22701629	947
birds	sp22687488	946
birds	sp22719932	946
birds	sp22701254	945
birds	sp22713536	945
birds	sp22714347	945
birds	sp22693845	944
birds	sp22718409	944
birds	sp22689916	943
birds	sp22690839	943
birds	sp22702432	943
birds	sp22711646	943
birds	sp22715451	943
birds	sp22689906	942
birds	sp22701169	942
birds	sp22726068	942
birds	sp22678673	941
birds	sp22679473	941
birds	sp22688387	941
birds	sp22699000	941
birds	sp22707028	941
birds	sp22719411	941
birds	sp22722497	941
birds	sp22695431	940
birds	sp22729460	939
birds	sp22701302	938
birds	sp22699350	936
birds	sp22707586	936
birds	sp22710060	935
birds	sp22695147	934
birds	sp22700312	934
birds	sp22700365	934
birds	sp22703068	934
birds	sp22692986	933
birds	sp22704406	933
birds	sp22678534	932
birds	sp22682429	932
birds	sp22704653	932
birds	sp22704705	932
birds	sp22698477	931
birds	sp22704659	931
birds	sp22681808	929
birds	sp22696894	929
birds	sp22721138	929
birds	sp22717640	928
birds	sp22714976	927
birds	sp22710409	924
birds	sp22718761	924
birds	sp22680813	922
birds	sp22720687	921
birds	sp22697963	920
birds	sp22711115	920
birds	sp22679833	919
birds	sp22700223	918
birds	sp22712782	918
birds	sp22733826	918
birds	sp22723036	917
birds	sp22700114	916
birds	sp22701125	916
birds	sp22718949	916
birds	sp22712640	915
birds	sp22718225	915
birds	sp22719699	915
birds	sp22692632	914
birds	sp22734757	914
birds	sp22709464	913
birds	sp22699590	912
birds	sp22702131	912
birds	sp22704539	912
birds	sp22713792	912
birds	sp22718423	911
birds	sp22724200	911
birds	sp22711795	909
birds	sp45093141	909
birds	sp22711287	908
birds	sp22701474	907
birds	sp22705021	907
birds	sp22715249	907
birds	sp22686672	906
birds	sp22711919	906
birds	sp22709791	905
birds	sp22682851	904
birds	sp22712734	904
birds	sp22721898	904
birds	sp22730664	904
birds	sp22683909	903
birds	sp22715154	903
birds	sp22699453	902
birds	sp22680753	901
birds	sp22686311	901
birds	sp22713419	901
birds	sp22713581	901
birds	sp22707403	900
birds	sp22716094	900
birds	sp22686467	899
birds	sp22687259	899
birds	sp22696977	899
birds	sp22724243	899
birds	sp22700971	898
birds	sp22701580	898
birds	sp22704400	898
birds	sp22697859	897
birds	sp22699280	897
birds	sp22712687	897
birds	sp22701352	896
birds	sp22705382	896
birds	sp22726905	896
birds	sp22680689	895
birds	sp22697925	895
birds	sp22720607	895
birds	sp22723039	895
birds	sp22712272	894
birds	sp22682277	893
birds	sp22687756	892
birds	sp22688323	892
birds	sp22710654	891
birds	sp22712001	891
birds	sp22678461	890
birds	sp22686014	890
birds	sp22693042	890
birds	sp22702167	890
birds	sp22707623	890
birds	sp22710120	890
birds	sp22721197	890
birds	sp22703152	889
birds	sp22699301	888
birds	sp22700491	888
birds	sp22717372	888
birds	sp22692232	887
birds	sp22708992	887
birds	sp22694896	886
birds	sp22715910	886
birds	sp22718336	886
birds	sp22724120	886
birds	sp22710141	885
birds	sp22714846	885
birds	sp22700284	884
birds	sp22722120	884
birds	sp22729172	884
birds	sp22735076	884
birds	sp22679440	882
birds	sp22683322	881
birds	sp22686664	881
birds	sp22702774	881
birds	sp22734498	880
birds	sp22678657	879
birds	sp22697852	879
birds	sp22682384	878
birds	sp22693025	878
birds	sp22710936	878
birds	sp22723537	878
birds	sp22701068	876
birds	sp22706931	876
birds	sp22688992	874
birds	sp22709467	873
birds	sp22693876	872
birds	sp22697870	872
birds	sp22723291	872
birds	sp22693082	871
birds	sp22718031	871
birds	sp22720931	870
birds	sp62181308	870
birds	sp22685486	869
birds	sp22715879	869
birds	sp22726469	869
birds	sp22700883	868
birds	sp22713554	868
birds	sp22701895	866
birds	sp22711038	866
birds	sp22724166	866
birds	sp22716992	865
birds	sp22719795	865
birds	sp62015238	865
birds	sp22701841	864
birds	sp22703395	864
birds	sp22717072	863
birds	sp22715190	862
birds	sp22716361	862
birds	sp22719982	862
birds	sp22723406	861
birds	sp22711568	860
birds	sp22715517	860
birds	sp22686661	859
birds	sp22693017	859
birds	sp22693879	859
birds	sp22690962	858
birds	sp22706548	858
birds	sp22701955	857
birds	sp22705602	857
birds	sp22717457	856
birds	sp22697264	855
birds	sp22718448	855
birds	sp22732257	855
birds	sp22682096	854
birds	sp22693424	854
birds	sp22715186	854
birds	sp22711896	853
birds	sp22709891	852
birds	sp22711188	852
birds	sp22713201	852
birds	sp22717782	852
birds	sp22705231	851
birds	sp22708730	851
birds	sp22727035	851
birds	sp22682203	850
birds	sp22697528	849
birds	sp22733700	849
birds	sp22710751	848
birds	sp22716984	848
birds	sp22735479	848
birds	sp22701436	847
birds	sp22723834	847
birds	sp22693647	846
birds	sp22709611	845
birds	sp22720696	845
birds	sp22710877	844
birds	sp22714533	844
birds	sp22680512	843
birds	sp22686198	843
birds	sp22692151	842
birds	sp22704638	842
birds	sp22714350	842
birds	sp22682041	841
birds	sp22709949	841
birds	sp22684280	839
birds	sp61859106	839
birds	sp22686788	838
birds	sp22681522	837
birds	sp22691252	837
birds	sp22709900	836
birds	sp22719604	836
birds	sp22730396	836
birds	sp22704135	835
birds	sp22720982	834
birds	sp22709328	833
birds	sp22681399	832
birds	sp22698027	832
birds	sp22706772	832
birds	sp22716717	832
birds	sp22690849	831
birds	sp22700274	830
birds	sp22706744	829
birds	sp22718121	829
birds	sp61789630	827
birds	sp22705547	826
birds	sp22706751	826
birds	sp22711698	826
birds	sp22718087	825
birds	sp22686479	824
birds	sp22696916	824
birds	sp22717858	824
birds	sp22724046	824
birds	sp22689875	822
birds	sp22704227	822
birds	sp22706369	822
birds	sp22720005	822
birds	sp22699520	821
birds	sp22719673	821
birds	sp22736178	821
birds	sp22688976	819
birds	sp22690004	819
birds	sp22723584	819
birds	sp22678376	818
birds	sp22725423	818
birds	sp22715870	817
birds	sp22720588	817
birds	sp22685994	816
birds	sp22694864	816
birds	sp22704950	816
birds	sp22707443	816
birds	sp22679981	814
birds	sp22714428	813
birds	sp62289571	813
birds	sp22683661	812
birds	sp22697435	812
birds	sp22720944	812
birds	sp22679975	810
birds	sp22698747	810
birds	sp22712740	810
birds	sp22686706	809
birds	sp22692260	809
birds	sp22705605	809
birds	sp22686424	807
birds	sp22726016	807
birds	sp22730264	806
birds	sp22685191	805
birds	sp22719054	805
birds	sp22716450	804
birds	sp22719518	804
birds	sp22679635	803
birds	sp22689325	803
birds	sp22706678	803
birds	sp22694931	802
birds	sp22698750	801
birds	sp22706293	801
birds	sp22717247	801
birds	sp22725692	800
birds	sp22718627	799
birds	sp22680178	798
birds	sp22685135	798
birds	sp22734690	798
birds	sp22699415	796
birds	sp22701546	796
birds	sp22705437	795
birds	sp22700552	794
birds	sp22680792	793
birds	sp22703688	793
birds	sp22706639	793
birds	sp22719537	793
birds	sp22683706	791
birds	sp22717649	790
birds	sp22703249	789
birds	sp22708919	789
birds	sp22723144	789
birds	sp22725006	789
birds	sp22682298	788
birds	sp22685793	788
birds	sp22717023	788
birds	sp22724065	788
birds	sp22679698	787
birds	sp22698735	787
birds	sp22710929	786
birds	sp22719562	786
birds	sp22726032	786
birds	sp22726222	786
birds	sp22727987	786
birds	sp22690974	785
birds	sp22717676	785
birds	sp22723069	785
birds	sp22697353	784
birds	sp22714423	784
birds	sp22692374	783
birds	sp22702491	781
birds	sp22721185	781
birds	sp22685291	780
birds	sp22705119	780
birds	sp22716522	780
birds	sp22685384	779
birds	sp22735531	778
birds	sp22696327	777
birds	sp22723810	777
birds	sp22690561	775
birds	sp22679179	774
birds	sp22710867	774
birds	sp22683764	773
birds	sp22717438	771
birds	sp22684095	770
birds	sp22710084	770
birds	sp22711889	770
birds	sp22687106	769
birds	sp22704129	769
birds	sp22679732	768
birds	sp22692278	768
birds	sp22711253	768
birds	sp22687759	767
birds	sp22681434	766
birds	sp22699430	766
birds	sp22718115	766
birds	sp22723085	766
birds	sp22736507	766
birds	sp22679106	765
birds	sp22694268	765
birds	sp22694618	765
birds	sp22720231	763
birds	sp22682325	762
birds	sp22698305	762
birds	sp22713170	762
birds	sp22682038	761
birds	sp22701346	761
birds	sp22701869	761
birds	sp22713152	761
birds	sp22716383	761
birds	sp22736488	761
birds	sp22682450	760
birds	sp22682392	759
birds	sp22682848	759
birds	sp22695721	759
birds	sp22697232	759
birds	sp22709044	759
birds	sp22680949	758
birds	sp22700629	758
birds	sp22705357	758
birds	sp22719504	758
birds	sp22688199	757
birds	sp22699871	757
birds	sp22717791	757
birds	sp22685473	756
birds	sp22699039	756
birds	sp22701872	756
birds	sp22703124	756
birds	sp22707998	756
birds	sp22708139	756
birds	sp22693709	755
birds	sp22736005	754
birds	sp22678707	753
birds	sp22689089	753
birds	sp22713430	753
birds	sp22718567	753
birds	sp22701460	752
birds	sp22697970	751
birds	sp22727599	751
birds	sp22731030	751
birds	sp22707440	748
birds	sp22680647	747
birds	sp22681450	747
birds	sp22691132	747
birds	sp22720693	747
birds	sp22723341	747
birds	sp22681324	746
birds	sp22712747	746
birds	sp22721288	746
birds	sp22716627	745
birds	sp22696446	744
birds	sp22701325	744
birds	sp22701494	744
birds	sp22715967	744
birds	sp22716280	744
birds	sp22717454	743
birds	sp22717487	743
birds	sp22698102	742
birds	sp22713105	742
birds	sp22715287	742
birds	sp22700038	741
birds	sp22680007	740
birds	sp22681889	740
birds	sp22683788	739
birds	sp22694476	739
birds	sp22700152	739
birds	sp22710710	739
birds	sp22725191	739
birds	sp22698986	738
birds	sp22712795	738
birds	sp22713540	738
birds	sp22713876	738
birds	sp22716798	738
birds	sp22704754	737
birds	sp22718532	737
birds	sp22701269	736
birds	sp22701832	736
birds	sp22711205	736
birds	sp22715073	736
birds	sp22715764	735
birds	sp22723495	735
birds	sp22699242	734
birds	sp22700943	734
birds	sp22705738	734
birds	sp22723954	734
birds	sp22700198	732
birds	sp22701786	732
birds	sp22709412	732
birds	sp22709514	732
birds	sp22710553	732
birds	sp22734177	732
birds	sp22706285	731
birds	sp22707151	731
birds	sp22714997	731
birds	sp22719434	731
birds	sp22708762	730
birds	sp22723825	730
birds	sp22678229	729
birds	sp22684092	729
birds	sp22707468	729
birds	sp22709244	729
birds	sp22711551	729
birds	sp22715642	729
birds	sp22682485	728
birds	sp22693663	728
birds	sp22699177	728
birds	sp22705705	728
birds	sp22707873	728
birds	sp22707991	728
birds	sp22712743	728
birds	sp22728432	728
birds	sp22680877	727
birds	sp22728238	727
birds	sp22708841	726
birds	sp22705182	725
birds	sp22719650	725
birds	sp22722915	725
birds	sp22702855	724
birds	sp22685312	723
birds	sp22685139	722
birds	sp22707067	722
birds	sp22718330	722
birds	sp22697954	721
birds	sp22704052	721
birds	sp22710259	721
birds	sp22732200	721
birds	sp22680412	720
birds	sp22694447	720
birds	sp22717979	720
birds	sp22719977	720
birds	sp22726706	720
birds	sp22683905	719
birds	sp22686965	719
birds	sp22694140	719
birds	sp22694934	719
birds	sp22713714	719
birds	sp22715344	717
birds	sp22717629	717
birds	sp22719676	717
birds	sp22723306	717
birds	sp22680828	716
birds	sp22681543	716
birds	sp22685022	716
birds	sp22706055	716
birds	sp22713161	716
birds	sp22713834	716
birds	sp22716750	716
birds	sp22690657	715
birds	sp22704953	715
birds	sp22708800	715
birds	sp22718171	715
birds	sp22682379	714
birds	sp22678722	713
birds	sp22710129	713
birds	sp22710147	713
birds	sp22733946	712
birds	sp22683532	711
birds	sp22716518	710
birds	sp22695987	709
birds	sp22712562	709
birds	sp22682998	708
birds	sp22707524	708
birds	sp22724087	708
birds	sp22690012	707
birds	sp22712716	707
birds	sp22715595	707
birds	sp22709876	706
birds	sp22725310	706
birds	sp22717092	705
birds	sp22711934	704
birds	sp22681205	703
birds	sp22698055	703
birds	sp22709576	703
birds	sp22717865	703
birds	sp22679735	702
birds	sp22700228	702
birds	sp22713143	702
birds	sp22717611	702
birds	sp22718624	702
birds	sp22680862	701
birds	sp22685122	701
birds	sp22717923	701
birds	sp22719095	701
birds	sp22719712	701
birds	sp22678289	700
birds	sp22692199	700
birds	sp22700968	700
birds	sp22723966	700
birds	sp22685338	699
birds	sp22700670	699
birds	sp22707477	699
birds	sp22710731	699
birds	sp22713131	699
birds	sp45426671	699
birds	sp22680118	698
birds	sp22705375	698
birds	sp22693550	697
birds	sp22703682	697
birds	sp22691198	696
birds	sp22713198	696
birds	sp22718112	696
birds	sp22696779	695
birds	sp22706705	695
birds	sp22685513	694
birds	sp22691127	694
birds	sp22699365	694
birds	sp22723410	694
birds	sp22715834	693
birds	sp22680789	692
birds	sp22684260	689
birds	sp22698159	689
birds	sp22698684	689
birds	sp22707629	688
birds	sp22709220	688
birds	sp22713961	688
birds	sp22725173	688
birds	sp22731673	688
birds	sp22715466	687
birds	sp22678217	686
birds	sp22681994	686
birds	sp22687658	686
birds	sp22709040	686
birds	sp22680620	685
birds	sp22688141	685
birds	sp22705883	685
birds	sp22719660	685
birds	sp22707601	684
birds	sp22712833	682
birds	sp22718975	682
birds	sp22682684	681
birds	sp22721401	681
birds	sp22735692	681
birds	sp22678934	679
birds	sp22685707	679
birds	sp22687458	679
birds	sp22696186	679
birds	sp22711608	679
birds	sp22712324	679
birds	sp22712616	679
birds	sp22714440	679
birds	sp22703346	678
birds	sp22723499	678
birds	sp22701083	677
birds	sp22705276	677
birds	sp22710949	677
birds	sp22689633	676
birds	sp22718633	676
birds	sp22682464	675
birds	sp22685194	675
birds	sp22716075	674
birds	sp22679020	672
birds	sp22681724	672
birds	sp22698230	672
birds	sp22698744	672
birds	sp22710263	672
birds	sp22717466	671
birds	sp22719522	671
birds	sp22687405	670
birds	sp22723603	670
birds	sp22688369	669
birds	sp22693852	669
birds	sp22706802	669
birds	sp22735048	669
birds	sp22682577	668
birds	sp22695379	668
birds	sp22718983	668
birds	sp22722153	668
birds	sp22688293	667
birds	sp22713149	667
birds	sp22680874	666
birds	sp22709156	666
birds	sp22710012	665
birds	sp22713966	665
birds	sp61487852	665
birds	sp22686819	664
birds	sp22702664	664
birds	sp22704669	664
birds	sp22715103	664
birds	sp22703076	663
birds	sp22711476	663
birds	sp22713167	663
birds	sp22734302	663
birds	sp22681699	662
birds	sp22712910	662
birds	sp22716364	662
birds	sp22720601	662
birds	sp22694875	661
birds	sp22692940	660
birds	sp22684222	659
birds	sp22692353	659
birds	sp22723296	659
birds	sp22679217	658
birds	sp22718194	658
birds	sp22703694	657
birds	sp22704067	657
birds	sp22710248	657
birds	sp22712728	657
birds	sp22719407	657
birds	sp22722958	657
birds	sp22679594	656
birds	sp22709266	656
birds	sp22713291	656
birds	sp22736199	656
birds	sp22712631	654
birds	sp45422115	654
birds	sp22705608	653
birds	sp22712702	653
birds	sp22686897	652
birds	sp22717774	652
birds	sp22681794	651
birds	sp22702304	650
birds	sp22682836	649
birds	sp22686982	649
birds	sp22718597	649
birds	sp22719670	649
birds	sp22689826	648
birds	sp22697583	648
birds	sp22700173	648
birds	sp22704409	648
birds	sp22702679	647
birds	sp22716193	647
birds	sp22719589	647
birds	sp22720582	647
birds	sp22716582	646
birds	sp22722775	646
birds	sp22687785	645
birds	sp22717794	645
birds	sp22684945	644
birds	sp22694116	644
birds	sp22709853	644
birds	sp22679503	642
birds	sp22723422	640
birds	sp22681841	639
birds	sp22696305	639
birds	sp22700261	639
birds	sp22713890	639
birds	sp22715000	639
birds	sp22679134	638
birds	sp22681562	638
birds	sp22678283	634
birds	sp22688350	634
birds	sp22735177	634
birds	sp22682129	633
birds	sp22697685	633
birds	sp22704388	633
birds	sp22706036	633
birds	sp22720977	633
birds	sp22736153	633
birds	sp22720948	632
birds	sp22725660	632
birds	sp22729366	632
birds	sp22681493	631
birds	sp22688429	631
birds	sp22692521	631
birds	sp22700700	631
birds	sp22709261	631
birds	sp22716585	630
birds	sp61687964	630
birds	sp22689271	629
birds	sp22694289	629
birds	sp22724265	629
birds	sp22693341	628
birds	sp22700069	628
birds	sp22678711	627
birds	sp22696324	627
birds	sp22701887	627
birds	sp22704680	627
birds	sp22698614	626
birds	sp22705061	626
birds	sp22729569	626
birds	sp22702803	625
birds	sp22722031	625
birds	sp22713483	624
birds	sp22719666	624
birds	sp22690432	623
birds	sp22693013	623
birds	sp22703736	623
birds	sp22705070	623
birds	sp22718081	623
birds	sp22718401	623
birds	sp22710525	621
birds	sp22714371	621
birds	sp22680101	620
birds	sp22710703	620
birds	sp22699804	619
birds	sp22707984	619
birds	sp22698465	618
birds	sp22700137	618
birds	sp22702740	618
birds	sp22713611	618
birds	sp22721578	618
birds	sp22697742	616
birds	sp22719908	616
birds	sp22722397	616
birds	sp22706543	615
birds	sp22715559	614
birds	sp22685126	613
birds	sp22704412	613
birds	sp22710795	613
birds	sp22716456	612
birds	sp22723570	612
birds	sp22708772	611
birds	sp22711660	611
birds	sp22712737	611
birds	sp22680663	610
birds	sp22681804	610
birds	sp22681703	609
birds	sp22688554	609
birds	sp22689378	609
birds	sp22721708	609
birds	sp22723437	609
birds	sp22679220	608
birds	sp22688420	608
birds	sp22713344	608
birds	sp22715814	608
birds	sp22721894	608
birds	sp22723301	608
birds	sp22724096	608
birds	sp22704803	607
birds	sp22715972	607
birds	sp22680482	606
birds	sp22684570	606
birds	sp22718860	606
birds	sp22703820	605
birds	sp22715471	605
birds	sp22729520	605
birds	sp22710299	604
birds	sp45959182	603
birds	sp22701974	602
birds	sp22685926	601
birds	sp22694705	601
birds	sp22696799	601
birds	sp22706455	601
birds	sp22712515	601
birds	sp22715682	601
birds	sp22698388	599
birds	sp22712607	599
birds	sp22695699	597
birds	sp22697259	597
birds	sp22713647	597
birds	sp22715895	597
birds	sp22717336	597
birds	sp22726002	597
birds	sp22729609	597
birds	sp22699539	596
birds	sp22709637	596
birds	sp22712405	596
birds	sp22712435	596
birds	sp22698012	595
birds	sp22704849	595
birds	sp22713100	595
birds	sp22687110	594
birds	sp22692977	594
birds	sp22722772	594
birds	sp22694440	593
birds	sp22711653	593
birds	sp22719962	593
birds	sp22695900	592
birds	sp22687857	591
birds	sp22701653	591
birds	sp22730168	591
birds	sp22701734	590
birds	sp22708188	590
birds	sp22711767	590
birds	sp22728490	590
birds	sp22685779	589
birds	sp22688980	589
birds	sp22701835	589
birds	sp22704094	589
birds	sp22709738	589
birds	sp22710817	589
birds	sp22717950	589
birds	sp22720884	589
birds	sp22708783	588
birds	sp22713115	588
birds	sp22719323	588
birds	sp22689993	587
birds	sp22713680	587
birds	sp22716352	587
birds	sp22701700	586
birds	sp22705404	585
birds	sp22685710	584
birds	sp22698300	584
birds	sp22712681	584
birds	sp22722016	584
birds	sp22679169	583
birds	sp22685317	583
birds	sp22720395	583
birds	sp22684686	582
birds	sp22708914	582
birds	sp22692270	581
birds	sp22696922	580
birds	sp22699313	580
birds	sp22700343	580
birds	sp22705993	580
birds	sp22717352	580
birds	sp22720069	580
birds	sp22724262	580
birds	sp22680136	579
birds	sp22687114	579
birds	sp22694867	579
birds	sp22697957	579
birds	sp22712919	579
birds	sp22686136	578
birds	sp22688299	578
birds	sp22698080	578
birds	sp22707510	578
birds	sp22708271	578
birds	sp22711526	578
birds	sp22682678	576
birds	sp22697138	576
birds	sp22702023	576
birds	sp22702642	576
birds	sp22682833	575
birds	sp22704630	575
birds	sp22687746	573
birds	sp22694924	573
birds	sp22698398	573
birds	sp22701241	573
birds	sp22705855	573
birds	sp22709558	573
birds	sp22713411	573
birds	sp22721602	573
birds	sp22721141	572
birds	sp22679972	571
birds	sp22681219	571
birds	sp22723487	571
birds	sp22678464	570
birds	sp22697975	570
birds	sp22702337	570
birds	sp22691932	569
birds	sp22718467	569
birds	sp22736020	569
birds	sp22727271	568
birds	sp22714075	567
birds	sp22732286	567
birds	sp22682441	566
birds	sp22703580	566
birds	sp22689583	565
birds	sp22703913	565
birds	sp22724271	565
birds	sp22733549	565
birds	sp22706397	564
birds	sp22710244	564
birds	sp22726200	564
birds	sp22679572	563
birds	sp22712725	563
birds	sp22701423	562
birds	sp22707950	562
birds	sp22693032	561
birds	sp22701229	561
birds	sp22697415	560
birds	sp22716379	560
birds	sp22718106	560
birds	sp22723912	560
birds	sp22679002	559
birds	sp22701355	558
birds	sp22704397	558
birds	sp22678262	557
birds	sp22681905	557
